"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-02",99.43108,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-03",99.46362,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-04",99.53732,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-05",99.52357,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-06",99.49691,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-07",99.48865,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-08",99.58443,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-09",99.79069,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-10",100.0806,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-11",100.4364,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-12",100.8309,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-01",101.0967,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-02",101.099,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-03",101.0019,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-04",100.9469,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-05",100.866,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-06",100.8802,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-07",100.7648,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-08",100.5743,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-09",100.4026,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-10",100.432,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-11",100.5492,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-12",100.6466,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-01",100.6594,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-02",100.6212,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-03",100.5808,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-04",100.6044,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-05",100.7338,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-06",100.7261,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-07",100.5983,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-08",100.4928,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-09",100.3917,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-10",100.1988,
