Date,price
18-10-2011,2.97
19-10-2011,2.97
20-10-2011,2.97
21-10-2011,2.97
22-10-2011,2.97
23-10-2011,2.97
24-10-2011,2.97
25-10-2011,2.97
26-10-2011,2.97
27-10-2011,2.97
28-10-2011,2.97
29-10-2011,2.97
30-10-2011,2.97
31-10-2011,2.97
01-11-2011,3.05
02-11-2011,3.05
03-11-2011,3.05
04-11-2011,3.05
05-11-2011,3.05
06-11-2011,3.05
07-11-2011,3.05
08-11-2011,3.05
09-11-2011,3.05
10-11-2011,3.05
11-11-2011,3.05
12-11-2011,3.05
13-11-2011,3.05
14-11-2011,3.05
15-11-2011,3.05
16-11-2011,3.05
17-11-2011,3.05
18-11-2011,3.05
19-11-2011,3.05
20-11-2011,3.05
21-11-2011,3.05
22-11-2011,3.05
23-11-2011,3.05
24-11-2011,3.05
25-11-2011,3.05
26-11-2011,3.05
27-11-2011,3.05
28-11-2011,3.05
29-11-2011,3.05
30-11-2011,3.05
01-12-2011,2.87
02-12-2011,2.87
03-12-2011,2.87
04-12-2011,2.87
05-12-2011,2.87
06-12-2011,2.87
07-12-2011,2.87
08-12-2011,2.87
09-12-2011,2.87
10-12-2011,2.87
11-12-2011,2.87
12-12-2011,2.87
13-12-2011,2.87
14-12-2011,2.87
15-12-2011,2.87
16-12-2011,2.87
17-12-2011,2.87
18-12-2011,2.87
19-12-2011,2.87
20-12-2011,2.87
21-12-2011,2.87
22-12-2011,2.87
23-12-2011,2.87
24-12-2011,2.87
25-12-2011,2.87
26-12-2011,2.87
27-12-2011,2.87
28-12-2011,2.87
29-12-2011,2.87
30-12-2011,2.87
31-12-2011,2.87
01-01-2012,3.09
02-01-2012,3.09
03-01-2012,3.09
04-01-2012,3.09
05-01-2012,3.09
06-01-2012,3.09
07-01-2012,3.09
08-01-2012,3.09
09-01-2012,3.09
10-01-2012,3.09
11-01-2012,3.09
12-01-2012,3.09
13-01-2012,3.09
14-01-2012,3.09
15-01-2012,3.09
16-01-2012,3.09
17-01-2012,3.09
18-01-2012,3.09
19-01-2012,3.09
20-01-2012,3.09
21-01-2012,3.09
22-01-2012,3.09
23-01-2012,3.09
24-01-2012,3.09
25-01-2012,3.09
26-01-2012,3.09
27-01-2012,3.09
28-01-2012,3.09
29-01-2012,3.09
30-01-2012,3.09
31-01-2012,3.09
01-02-2012,3.21
02-02-2012,3.21
03-02-2012,3.21
04-02-2012,3.21
05-02-2012,3.21
06-02-2012,3.21
07-02-2012,3.21
08-02-2012,3.21
09-02-2012,3.21
10-02-2012,3.21
11-02-2012,3.21
12-02-2012,3.21
13-02-2012,3.21
14-02-2012,3.21
15-02-2012,3.21
16-02-2012,3.21
17-02-2012,3.21
18-02-2012,3.21
19-02-2012,3.21
20-02-2012,3.21
21-02-2012,3.21
22-02-2012,3.21
23-02-2012,3.21
24-02-2012,3.21
25-02-2012,3.21
26-02-2012,3.21
27-02-2012,3.21
28-02-2012,3.21
29-02-2012,3.21
01-03-2012,3.26
02-03-2012,3.26
03-03-2012,3.26
04-03-2012,3.26
05-03-2012,3.26
06-03-2012,3.26
07-03-2012,3.26
08-03-2012,3.26
09-03-2012,3.26
10-03-2012,3.26
11-03-2012,3.26
12-03-2012,3.26
13-03-2012,3.26
14-03-2012,3.26
15-03-2012,3.26
16-03-2012,3.26
17-03-2012,3.26
18-03-2012,3.26
19-03-2012,3.26
20-03-2012,3.26
21-03-2012,3.26
22-03-2012,3.26
23-03-2012,3.26
24-03-2012,3.26
25-03-2012,3.26
26-03-2012,3.26
27-03-2012,3.26
28-03-2012,3.26
29-03-2012,3.26
30-03-2012,3.26
31-03-2012,3.26
01-04-2012,3.23
02-04-2012,3.23
03-04-2012,3.23
04-04-2012,3.23
05-04-2012,3.23
06-04-2012,3.23
07-04-2012,3.23
08-04-2012,3.23
09-04-2012,3.23
10-04-2012,3.23
11-04-2012,3.23
12-04-2012,3.23
13-04-2012,3.23
14-04-2012,3.23
15-04-2012,3.23
16-04-2012,3.23
17-04-2012,3.23
18-04-2012,3.23
19-04-2012,3.23
20-04-2012,3.23
21-04-2012,3.23
22-04-2012,3.23
23-04-2012,3.23
24-04-2012,3.23
25-04-2012,3.23
26-04-2012,3.23
27-04-2012,3.23
28-04-2012,3.23
29-04-2012,3.23
30-04-2012,3.23
01-05-2012,2.97
02-05-2012,2.97
03-05-2012,2.97
04-05-2012,2.97
05-05-2012,2.97
06-05-2012,2.97
07-05-2012,2.97
08-05-2012,2.97
09-05-2012,2.97
10-05-2012,2.97
11-05-2012,2.97
12-05-2012,2.97
13-05-2012,2.97
14-05-2012,2.97
15-05-2012,2.97
16-05-2012,2.97
17-05-2012,2.97
18-05-2012,2.97
19-05-2012,2.97
20-05-2012,2.97
21-05-2012,2.97
22-05-2012,2.97
23-05-2012,2.97
24-05-2012,2.97
25-05-2012,2.97
26-05-2012,2.97
27-05-2012,2.97
28-05-2012,2.97
29-05-2012,2.97
30-05-2012,2.97
31-05-2012,2.97
01-06-2012,2.68
02-06-2012,2.68
03-06-2012,2.68
04-06-2012,2.68
05-06-2012,2.68
06-06-2012,2.68
07-06-2012,2.68
08-06-2012,2.68
09-06-2012,2.68
10-06-2012,2.68
